metric,value
repos_scanned,424
total_issues,346944
total_loc,21632176
issues_per_kloc,16.0
loc_per_issue,62.4
avg_score,85
median_score,86
pct_repos_with_security_finding,87
repos_clean_on_security,56
supabase_repos,206
pct_supabase_with_security_finding,98
pct_non_supabase_with_security_finding,77
pct_repos_with_leaked_secret,14
tier_certified,199
tier_conditional,9
tier_gold,133
tier_not_ready,83
issues_scalability,150212
issues_maintainability,65152
issues_performance,57821
issues_manageability,52236
issues_security,21361
issues_architecture,162
