repo_id,area,loc,rules_evaluated,rules_failing,findings_high,findings_medium,findings_low,findings_total
1,architecture,1063,7,0,0,0,0,0
1,maintainability,1063,15,2,1,61,0,62
1,manageability,1063,16,3,0,2,1,3
1,performance,1063,15,0,0,0,0,0
1,scalability,1063,13,0,0,0,0,0
1,security,1063,24,0,0,0,0,0
2,maintainability,23660,5,3,0,9,7,16
2,manageability,23660,11,3,6,16,0,22
2,performance,23660,11,3,8,32,0,40
2,scalability,23660,9,2,41,7,0,48
2,security,23660,38,2,51,0,0,51
3,architecture,39460,7,1,0,0,2,2
3,maintainability,39460,16,7,4,108,44,156
3,manageability,39460,21,6,109,137,14,260
3,performance,39460,20,6,10,48,1,59
3,scalability,39460,14,5,111,23,0,134
3,security,39460,43,4,27,14,0,41
4,maintainability,22992,5,3,0,30,37,67
4,manageability,22992,12,4,19,32,0,51
4,performance,22992,11,2,82,3,0,85
4,scalability,22992,9,3,161,7,0,168
4,security,22992,43,8,53,4,0,57
5,maintainability,6466,5,1,0,0,4,4
5,manageability,6466,10,0,0,0,0,0
5,performance,6466,11,1,1,0,0,1
5,scalability,6466,8,1,0,4,0,4
5,security,6466,28,0,0,0,0,0
6,architecture,32717,7,0,0,0,0,0
6,maintainability,32717,16,8,26,157,8,191
6,manageability,32717,22,9,8,174,30,212
6,performance,32717,20,5,55,34,2,91
6,scalability,32717,15,4,92,56,0,148
6,security,32717,53,4,5,7,0,12
7,architecture,144,7,0,0,0,0,0
7,maintainability,144,11,2,2,10,0,12
7,manageability,144,10,1,0,0,3,3
7,performance,144,9,0,0,0,0,0
7,scalability,144,6,0,0,0,0,0
7,security,144,10,0,0,0,0,0
8,maintainability,3726,5,1,0,5,0,5
8,manageability,3726,10,1,2,0,0,2
8,performance,3726,11,1,9,0,0,9
8,scalability,3726,8,0,0,0,0,0
8,security,3726,28,1,3,0,0,3
9,maintainability,189,4,0,0,0,0,0
9,manageability,189,3,1,0,13,0,13
9,performance,189,6,0,0,0,0,0
9,scalability,189,6,0,0,0,0,0
9,security,189,11,0,0,0,0,0
10,maintainability,3025,5,2,0,5,3,8
10,manageability,3025,11,3,3,6,0,9
10,performance,3025,11,3,1,16,0,17
10,scalability,3025,9,2,25,3,0,28
10,security,3025,38,0,0,0,0,0
11,manageability,5134,6,0,0,0,0,0
11,scalability,5134,1,0,0,0,0,0
11,security,5134,18,1,0,1,0,1
12,architecture,5803,12,0,0,0,0,0
12,maintainability,5803,18,6,0,13,11,24
12,manageability,5803,24,6,1,6,24,31
12,performance,5803,20,4,0,4,1,5
12,scalability,5803,19,3,4,6,0,10
12,security,5803,30,0,0,0,0,0
13,architecture,11691,7,1,0,0,1,1
13,maintainability,11691,11,5,4,85,0,89
13,manageability,11691,13,6,1,9,70,80
13,performance,11691,9,3,5,4,8,17
13,scalability,11691,7,1,22,0,0,22
13,security,11691,13,1,0,1,0,1
14,maintainability,21470,5,3,0,27,4,31
14,manageability,21470,11,4,5,13,0,18
14,performance,21470,11,3,73,10,0,83
14,scalability,21470,9,3,14,33,0,47
14,security,21470,38,2,1,1,0,2
15,maintainability,5707,5,1,0,2,0,2
15,manageability,5707,10,2,1,19,0,20
15,performance,5707,11,2,4,4,0,8
15,scalability,5707,8,2,18,7,0,25
15,security,5707,28,2,10,0,0,10
16,maintainability,80496,5,2,0,206,46,252
16,manageability,80496,12,4,27,391,0,418
16,performance,80496,11,5,222,45,0,267
16,scalability,80496,9,4,475,88,0,563
16,security,80496,43,7,29,11,0,40
17,maintainability,13846,5,2,0,5,3,8
17,manageability,13846,12,2,1,1,0,2
17,performance,13846,11,2,23,2,0,25
17,scalability,13846,9,2,0,7,0,7
17,security,13846,43,4,3,2,0,5
18,maintainability,8241,5,2,0,1,5,6
18,manageability,8241,10,1,0,2,0,2
18,performance,8241,11,2,2,2,0,4
18,scalability,8241,8,1,0,4,0,4
18,security,8241,28,2,8,0,0,8
19,maintainability,64634,5,3,0,262,155,417
19,manageability,64634,12,4,59,109,0,168
19,performance,64634,11,4,162,181,0,343
19,scalability,64634,9,6,459,41,0,500
19,security,64634,43,5,60,51,0,111
20,maintainability,1683,5,0,0,0,0,0
20,manageability,1683,10,0,0,0,0,0
20,performance,1683,11,1,5,0,0,5
20,scalability,1683,8,0,0,0,0,0
20,security,1683,28,1,3,0,0,3
21,architecture,1773,7,0,0,0,0,0
21,maintainability,1773,11,1,0,1,0,1
21,manageability,1773,10,2,0,0,6,6
21,performance,1773,9,0,0,0,0,0
21,scalability,1773,6,0,0,0,0,0
21,security,1773,10,0,0,0,0,0
22,architecture,410,7,0,0,0,0,0
22,maintainability,410,11,1,1,0,0,1
22,manageability,410,10,1,0,1,0,1
22,performance,410,9,0,0,0,0,0
22,scalability,410,6,0,0,0,0,0
22,security,410,10,0,0,0,0,0
23,maintainability,13575,5,2,0,14,7,21
23,manageability,13575,12,2,0,9,0,9
23,performance,13575,11,1,4,0,0,4
23,scalability,13575,9,3,9,5,0,14
