repo_id,origin,framework,uses_supabase,language,loc,total_issues,score,tier,issues_scalability,issues_maintainability,issues_performance,issues_manageability,issues_security,issues_architecture
1,generic-ai,node-other,0,Python,1063,65,98,GOLD,0,62,0,3,0,0
2,v0,nextjs,1,TypeScript,23660,177,86,CERTIFIED,48,16,40,22,51,0
3,generic-ai,react-vite,0,JavaScript,39460,652,83,CERTIFIED,134,156,59,260,41,2
4,lovable,react-vite,1,TypeScript,22992,428,82,CERTIFIED,168,67,85,51,57,0
5,v0,nextjs,0,TypeScript,6466,9,97,GOLD,4,4,1,0,0,0
6,lovable,react-vite,1,TypeScript,32717,654,87,CERTIFIED,148,191,91,212,12,0
7,bolt,other,0,Python,144,15,99,GOLD,0,12,0,3,0,0
8,v0,nextjs,0,TypeScript,3726,19,94,GOLD,0,5,9,2,3,0
9,generic-ai,other,0,JavaScript,189,13,97,GOLD,0,0,0,13,0,0
10,v0,nextjs,1,TypeScript,3025,62,89,CERTIFIED,28,8,17,9,0,0
11,generic-ai,node-other,0,TypeScript,5134,1,99,GOLD,0,0,0,0,1,0
12,generic-ai,node-other,0,JavaScript,5803,70,94,GOLD,10,24,5,31,0,0
13,generic-ai,node-other,0,Python,11691,210,87,CERTIFIED,22,89,17,80,1,1
14,v0,nextjs,1,TypeScript,21470,181,85,CERTIFIED,47,31,83,18,2,0
15,v0,nextjs,0,TypeScript,5707,65,87,CERTIFIED,25,2,8,20,10,0
16,lovable,react-vite,1,TypeScript,80496,1540,78,CERTIFIED,563,252,267,418,40,0
17,lovable,react-vite,1,TypeScript,13846,47,90,GOLD,7,8,25,2,5,0
18,v0,nextjs,0,TypeScript,8241,24,92,GOLD,4,6,4,2,8,0
19,lovable,react-vite,1,TypeScript,64634,1539,76,NOT_READY,500,417,343,168,111,0
20,generic-ai,nextjs,0,TypeScript,1683,8,97,GOLD,0,0,5,0,3,0
21,generic-ai,other,0,Python,1773,7,100,GOLD,0,1,0,6,0,0
22,generic-ai,other,0,Python,410,2,98,GOLD,0,1,0,1,0,0
23,lovable,react-vite,1,TypeScript,13575,53,89,CERTIFIED,14,21,4,9,5,0
24,v0,nextjs,0,TypeScript,29870,643,77,NOT_READY,330,85,152,57,19,0
25,v0,nextjs,0,TypeScript,9497,126,88,CERTIFIED,36,21,44,15,10,0
26,lovable,react-vite,0,TypeScript,6345,25,92,GOLD,10,3,7,4,1,0
27,lovable,react-vite,1,TypeScript,64646,1143,80,CERTIFIED,557,242,222,87,35,0
28,lovable,react-vite,1,TypeScript,39105,465,79,CERTIFIED,88,46,139,135,57,0
